Name,Target,Precursors,Temperature (C),Dwell Duration (h),Furnace
NSC-244,Na3.85Ta0.75Sc1.25(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'Sc2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-245,Na3.813Zr1.533Y0.172Ga0.295(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'Y2O3', 'Ga2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-246,Na3.433Hf0.572Ta0.35Sn0.606Y0.354Ga0.118(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'Ta2O5', 'SnO2', 'Y2O3', 'Ga2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-247,Na3.833Zr0.788Sn0.919Zn0.192La0.1(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'SnO2', 'ZnO', 'La2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-248,Na3.679Ti1.656Y0.344(PO4)1.0(SiO4)2.0,"['Na2CO3', 'TiO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-249,Na3.425Hf0.398Zr0.425Nb0.349In0.403Sn0.366Y0.059(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'Nb2O5', 'In2O3', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-250,Na3.447Zr0.293Ta0.787Sc0.398In0.41Y0.112(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'Ta2O5', 'Sc2O3', 'In2O3', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-251,Na4.069Sc0.553Ti0.488Sn0.813Ga0.146(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Sc2O3', 'TiO2', 'SnO2', 'Ga2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-252,Na3.839Zr0.99Ta0.301Nb0.21Mg0.224Zn0.276(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'Ta2O5', 'Nb2O5', 'MgO', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-253,Na3.851Ta0.474Sc0.617Sn0.73Zn0.179(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'Sc2O3', 'SnO2', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-254,Na3.801Sc0.376Nb0.829In0.683Zn0.113(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Sc2O3', 'Nb2O5', 'In2O3', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-255,Na3.814Hf0.554Nb0.589Mg0.199In0.658(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'Nb2O5', 'MgO', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-256,Na3.194Hf0.66Ta0.419Sn0.599Y0.323(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'Ta2O5', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-257,Na3.631Zr0.671Ta0.451In0.751Ge0.127(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'Ta2O5', 'In2O3', 'GeO2', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-258,Na3.777Hf0.824Zr0.743In0.286Ga0.147(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'In2O3', 'Ga2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-259,Na3.842Zr0.624Ti0.152In0.493Sn0.731(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'TiO2', 'In2O3', 'SnO2', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-260,Na2.933Hf0.944Ta0.299Nb0.395Y0.361(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'Ta2O5', 'Nb2O5', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-261,Na3.596Hf0.419Ta0.368In0.636Sn0.577(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'Ta2O5', 'In2O3', 'SnO2', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-262,Na3.665Zr0.983Sn0.791Y0.12Zn0.106(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'SnO2', 'Y2O3', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-263,Na3.706Hf1.153Ti0.478Y0.369(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'TiO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-264,Na3.761Zr0.925Ti0.656Y0.419(PO4)1.0(SiO4)2.0,"['Na2CO3', 'ZrO2', 'TiO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-265,Na3.73Nb0.902Mg0.196In0.902(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Nb2O5', 'MgO', 'In2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-266,Na3.317Ta1.168Y0.48Zn0.352(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'Y2O3', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-267,Na2.995Ta0.739Sn0.799Y0.462(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'SnO2', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-268,Na3.768Hf0.425Zr1.362Zn0.213(PO4)1.0(SiO4)2.0,"['Na2CO3', 'HfO2', 'ZrO2', 'ZnO', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
NSC-269,Na3.295Ta1.163Mg0.321Y0.517(PO4)1.0(SiO4)2.0,"['Na2CO3', 'Ta2O5', 'MgO', 'Y2O3', 'NH4H2PO4', 'SiO2']",1100.0,0.2,BF
